"row_id","part_id","days","event","failure_mode"
1,"A23",2656,1,"Mode A"
2,"A04",2814,1,"Mode A"
3,"A29",2814,1,"Mode A"
4,"A05",2882,1,"Mode A"
5,"A24",3007,1,"Mode A"
6,"A19",3059,1,"Mode A"
7,"A01",3158,1,"Mode A"
8,"A01",12,1,"Mode B"
9,"A24",191,1,"Mode B"
10,"A01",193,1,"Mode B"
11,"A03",3399,1,"Mode A"
12,"A02",3408,1,"Mode A"
13,"A24",239,1,"Mode B"
14,"A06",3533,1,"Mode A"
15,"A15",3545,1,"Mode A"
16,"A16",3574,1,"Mode A"
17,"A29",770,1,"Mode B"
18,"A01",224,0,"None"
19,"A02",179,0,"None"
20,"A03",188,0,"None"
21,"A04",773,0,"None"
22,"A05",705,0,"None"
23,"A06",54,0,"None"
24,"A07",3587,0,"None"
25,"A08",3587,0,"None"
26,"A09",3587,0,"None"
27,"A10",3587,0,"None"
28,"A11",3587,0,"None"
29,"A12",3587,0,"None"
30,"A13",3587,0,"None"
31,"A14",3587,0,"None"
32,"A15",42,0,"None"
33,"A16",13,0,"None"
34,"A17",3587,0,"None"
35,"A18",3587,0,"None"
36,"A19",528,0,"None"
37,"A20",3587,0,"None"
38,"A21",3587,0,"None"
39,"A22",3587,0,"None"
40,"A23",931,0,"None"
41,"A24",150,0,"None"
42,"A25",3587,0,"None"
43,"A26",3587,0,"None"
44,"A27",3587,0,"None"
45,"A28",3587,0,"None"
46,"A29",3,0,"None"
47,"A30",3587,0,"None"
